headline,url,category
LIVE: Inter defeat Barcelona in Champions League semifinal – reaction,https://www.aljazeera.com/sport/liveblog/2025/5/6/live-inter-milan-vs-barcelona-uefa-champions-league-semifinal,sport
Champions League: All to know before the PSG-Arsenal semifinal decider,https://www.aljazeera.com/sport/2025/5/6/psg-vs-arsenal-uefa-champions-league-start-time-team-news-lineups,sport
Nuggets’ Gordon drains game-winner to beat Thunder in NBA playoff opener,https://www.aljazeera.com/sport/2025/5/6/gordon-jokic-lead-nuggets-past-thunder-in-game-1-of-nba-playoffs,sport
"Knicks stun NBA champion Celtics in Game 1, steal home court",https://www.aljazeera.com/sport/2025/5/6/brunson-anunoby-knicks-stun-celtics-in-game-1-steal-playoffs-home-court,sport
Champions League: All to know ahead of Barca-Inter semifinal decider,https://www.aljazeera.com/sport/2025/5/5/inter-vs-barcelona-uefa-champions-league-start-time-team-news-lineups,sport
Alexander-Arnold confirms Liverpool exit amid Real Madrid rumours,https://www.aljazeera.com/sport/2025/5/5/alexander-arnold-to-depart-liverpool-at-season-end-amid-real-madrid-link,sport
"Pacers stun Cavs, Warriors shoot down Rockets to advance in NBA playoffs",https://www.aljazeera.com/sport/2025/5/5/hield-warriors-win-game-7-against-rockets-to-advance-in-nba-playoffs,sport
Three in a row: Piastri wins in Miami to lead McLaren one-two,https://www.aljazeera.com/sport/2025/5/5/piastri-beats-norris-at-f1-miami-gp-to-extend-championship-lead,sport
Mbappe brace against Celta Vigo keeps Real Madrid LaLiga title hopes alive,https://www.aljazeera.com/sport/2025/5/4/mbappe-keeps-real-madrids-laliga-hopes-alive-in-celta-vigo-thriller,sport
Real Madrid survive late scare against Celta Vigo to keep title race alive,https://www.aljazeera.com/sport/liveblog/2025/5/4/live-real-madrid-vs-celta-vigo-laliga,sport
Messi scores as Miami bounce back with crushing 4-1 defeat of Red Bulls,https://www.aljazeera.com/sport/2025/5/4/messi-inter-miami-crush-new-york-red-bulls-in-mls,sport
Nuggets eliminate Clippers to advance in NBA playoffs,https://www.aljazeera.com/sport/2025/5/4/nuggets-eliminate-clippers-in-game-7-to-advance-in-nba-playoffs,sport
Alvarez beats Scull to reclaim undisputed super-middleweight title,https://www.aljazeera.com/sport/2025/5/4/canelo-alvarez-beats-scull-to-reclaim-undisputed-super-middleweight-title,sport
Canelo Alvarez unifies super-middleweight titles in decision win over Scull,https://www.aljazeera.com/sport/liveblog/2025/5/3/live-canelo-vs-scull-middleweight-boxing,sport
India launches attacks on several sites in Pakistan,https://www.aljazeera.com/news/2025/5/6/india-launches-attacks-on-several-sites-in-pakistan,politics
India fires missile barrage into Pakistan as war fears surge,https://www.aljazeera.com/news/liveblog/2025/5/6/india-pakistan-fighting-live-india-fires-missiles-into-pakistan,politics
Key takeaways from Donald Trump’s meeting with Canada’s PM Mark Carney,https://www.aljazeera.com/news/2025/5/6/key-takeaways-from-donald-trumps-meeting-with-canadas-pm-mark-carney,politics
Trump says bombing of Yemen to stop as Oman confirms US-Houthi ceasefire,https://www.aljazeera.com/news/2025/5/6/trump-says-bombing-of-yemen-to-stop-as-oman-confirms-us-houthi-ceasefire,politics
Pakistan blames India after seven soldiers killed in Balochistan blast,https://www.aljazeera.com/news/2025/5/6/pakistan-blames-india-after-seven-soldiers-killed-in-balochistan-blast,politics
LIVE: Inter defeat Barcelona in Champions League semifinal – reaction,https://www.aljazeera.com/sport/liveblog/2025/5/6/live-inter-milan-vs-barcelona-uefa-champions-league-semifinal,politics
"India, UK agree ‘historic’ trade deal including tariff cuts",https://www.aljazeera.com/news/2025/5/6/india-uk-agree-historic-trade-deal-including-tariff-cuts,politics
Yemen’s Houthis vow retaliation after Israeli attacks on Sanaa,https://www.aljazeera.com/news/2025/5/6/israeli-strikes-rock-yemens-sanaa-including-international-airport,politics
‘No safety guarantee’: Could Ukrainian drones target Putin’s Victory Day?,https://www.aljazeera.com/news/2025/5/6/no-safety-guarantee-could-ukrainian-drones-target-putins-victory-day,politics
Champions League: All to know before the PSG-Arsenal semifinal decider,https://www.aljazeera.com/sport/2025/5/6/psg-vs-arsenal-uefa-champions-league-start-time-team-news-lineups,sport
Germany’s Merz elected chancellor in second round of voting,https://www.aljazeera.com/news/2025/5/6/germanys-merz-elected-chancellor-in-second-round-vote,politics
Trump updates: Canada’s Mark Carney visits White House amid tariff dispute,https://www.aljazeera.com/news/liveblog/2025/5/6/trump-live-canadas-mark-carney-to-visit-white-house-amid-tariff-dispute,politics
"What are the Piprahwa gems, and why is India trying to stop their auction?",https://www.aljazeera.com/news/2025/5/6/what-are-the-piprahwa-gems-and-why-is-india-trying-to-stop-their,politics
"Seeking funds to rebuild, Lebanon government works to regain donor trust",https://www.aljazeera.com/news/2025/5/6/lebanon-government-works-to-regain-donor-trust-secure-reconstruction-funds,politics
