headline,url,category
UK's Deliveroo to be bought by US firm DoorDash in ?2.9bn deal,https://www.bbc.com/news/articles/c5yr1nz7jwko,business
Car giant Ford and Barbie maker Mattel warn over tariffs costs,https://www.bbc.com/news/articles/cly1e7ll07do,business
World of Business,https://cloud.email.bbc.com/WorldofBusiness_Newsletter_Signup?&at_bbc_team=studios&at_medium=emails&at_objective=acquisition&at_ptr_type=&at_ptr_name=bbc.com&at_format=Module&at_link_origin=homepage&at_campaign=wob&at_campaign_type=owned,business
Trump considering 100% tariffs on movies not made in the US,https://www.bbc.com/news/articles/cjr7e2z1rxyo,business
OpenAI says non-profit will remain in control after backlash,https://www.bbc.com/news/articles/cwy603eg0w8o,business
Car giant Ford and Barbie maker Mattel warn over tariffs costs,https://www.bbc.com/news/articles/cly1e7ll07do,business
India worried about Chinese 'dumping' as trade tensions with Trump escalate,https://www.bbc.com/news/articles/ckg5d505v8xo,business
Deliveroo deal shows UK still can't hang on to big firms,https://www.bbc.com/news/articles/cvgp22d2kexo,business
What Canada's Mark Carney can expect when he meets Trump,https://www.bbc.com/news/videos/cwyn9vv9852o,business
World of Business,https://cloud.email.bbc.com/WorldofBusiness_Newsletter_Signup?&at_bbc_team=studios&at_medium=emails&at_objective=acquisition&at_ptr_type=&at_ptr_name=bbc.com&at_format=Module&at_link_origin=homepage&at_campaign=wob&at_campaign_type=owned,business
Colombia's wind farms bring promise and pain for indigenous group,https://www.bbc.com/news/articles/ckg2ekjjgldo,business
Deported gang members get second chance at call centre,https://www.bbc.com/news/articles/c93g2e332d9o,business
"Highly unlikely for tariffs to be ratcheted up, expert says",https://www.bbc.com/reel/video/p0l6j1mj/highly-unlikely-for-tariffs-to-be-ratcheted-up-expert-says,business
The ex-Google exec who wants to simplify your life,https://www.bbc.com/worklife/article/20250313-the-ex-google-exec-who-wants-to-simplify-your-life,business
Trump film tariffs to be part of UK-US trade talks,https://www.bbc.com/news/articles/cz01kx3yrmvo,business
What impact might Trump's Hollywood tariffs plan have?,https://www.bbc.com/news/articles/cwy04kjwk09o,business
Elon Musk's Starbase in Texas will officially become a city,https://www.bbc.com/news/articles/c39j8rj4nmmo,business
How Carney's election win will change direction of trade war,https://www.bbc.com/news/articles/cgjlqwxevd0o,business
London's 'spiralling' housing crisis in numbers,https://www.bbc.com/news/articles/cgkg54nd5d5o,business
"Warren Buffett, 94, stepping down as Berkshire Hathaway CEO",https://www.bbc.com/news/articles/cqj4nev7p70o,business
Playing with FIRE: How to quit work and retire in your 30s,https://www.bbc.com/reel/video/p09qwdp6/playing-with-fire-how-to-quit-work-and-retire-in-your-30s,business
Boomerang CEOs: Do they ever succeed?,https://www.bbc.com/reel/video/p0h9q7kj/boomerang-ceos-do-they-ever-succeed-,business
How industry leaders transformed their career,https://www.bbc.com/reel/video/p0h4hbs4/how-industry-leaders-transformed-their-career,business
Women were the original beer brewers - what changed?,https://www.bbc.com/reel/video/p0gwgmz8/women-were-the-original-beer-brewers-what-changed-,business
How waiting alters our perception of time,https://www.bbc.com/reel/video/p09cdyyd/how-waiting-alters-our-perception-of-time,business
Do the super-rich 'deserve' their wealth?,https://www.bbc.com/reel/video/p0fv01m1/do-the-super-rich-deserve-their-wealth-,business
Four simple hacks to succeed in every conversation,https://www.bbc.com/reel/video/p098mgm9/four-simple-hacks-to-succeed-in-every-conversation,business
Solo and hybrid work: Navigating our future and new normal,https://www.bbc.com/reel/video/p09p4p1r/solo-and-hybrid-work-navigating-our-future-and-new-normal,business
Can supersonic flight ever be sustainable?,https://www.bbc.com/reel/video/p0c5mvlh/can-supersonic-flight-ever-be-sustainable-,business
Commencement speech: The surprising pitfall of your passions,https://www.bbc.com/reel/video/p0fq5w2r/commencement-speech-the-surprising-pitfall-of-your-passions,business
A desk full of descriptions for your work colleagues,https://www.bbc.com/reel/video/p0d20p52/a-desk-full-of-descriptions-for-your-work-colleagues,business
Veterinarian suicide rates are very high. Why?,https://www.bbc.com/reel/video/p0gkmzb8/veterinarian-suicide-rates-are-very-high-why-,business
ASMR: How whispering took over the internet,https://www.bbc.com/reel/video/p0d95c27/asmr-how-whispering-took-over-the-internet,business
Uber starts allowing customers to pay in cash,https://www.bbc.com/news/articles/c4g4le9n469o,business
Wall Street stocks bounce back from Trump tariff losses,https://www.bbc.com/news/articles/cj0z65dq771o,business
Tariffs on car parts entering the US come into force,https://www.bbc.com/news/articles/c4grdke5r1jo,business
US court rules ex-Abercrombie CEO unfit for trial,https://www.bbc.com/news/articles/cp31nknxgwlo,business
US jobs grow by more than expected despite tariff turmoil,https://www.bbc.com/news/articles/c4grd0wqy22o,business
Temu to stop selling goods from China directly to US customers,https://www.bbc.com/news/articles/cwy79j2n7d4o,business
M&S supplier resorts to pen and paper after cyber attack,https://www.bbc.com/news/articles/cvgnyplvdv8o,business
"Co-op cyber attack affects customer data, firm admits, after hackers contact BBC",https://www.bbc.com/news/articles/crkx3vy54nzo,business
Trump signs order to block funding to public radio,https://www.bbc.com/news/articles/cly1jwe7582o,business
27 of the best looks from Met Gala 2025,https://www.bbc.com/news/articles/c20xvd10xv5o,culture
Attenborough at 99 delivers 'greatest message he's ever told',https://www.bbc.com/news/articles/cn0wjxg0ex1o,culture
What impact might Trump's Hollywood tariffs plan have?,https://www.bbc.com/news/articles/cwy04kjwk09o,culture
Trump film tariffs to be part of UK-US trade talks,https://www.bbc.com/news/articles/cz01kx3yrmvo,culture
Lemmy statue to be unveiled in hometown,https://www.bbc.com/news/articles/c5ylnyrydl0o,culture
Attenborough at 99 delivers 'greatest message he's ever told',https://www.bbc.com/news/articles/cn0wjxg0ex1o,culture
"Winter fuel cuts were factor at elections, says minister",https://www.bbc.com/news/articles/cy0xee5krnno,politics
Visa applications for some nationalities could be restricted,https://www.bbc.com/news/articles/cn0wd75ne82o,politics
Wales' Labour first minister says she will 'call out' Starmer,https://www.bbc.com/news/articles/cy9v7gn9729o,politics
